#accession	gi	is_bcg	is_ba	species	genome_size	description
NZ_CP015375	1049452012	False	False	subtilis	4,211,343	Bacillus subtilis subsp. subtilis strain KCTC 3135, complete genome
NZ_CP015975	1035844369	False	False	subtilis	3,876,919	Bacillus subtilis subsp. subtilis strain delta6 chromosome, complete genome
NZ_CP016767	1207757276	False	False	subtilis	4,282,516	Bacillus subtilis strain CW14 chromosome, complete genome
NZ_CP016852	1051699880	False	False	subtilis	4,214,812	Bacillus subtilis subsp. subtilis strain 168G, complete genome
NZ_CP016894	1057672705	False	False	subtilis	4,235,115	Bacillus subtilis strain HJ0-6, complete genome
NZ_CP017112	1062649058	False	False	subtilis	4,165,121	Bacillus subtilis strain BS16045, complete genome
NZ_CP017314	1072774606	False	False	subtilis	4,010,416	Bacillus subtilis strain BS38, complete genome
NZ_CP017676	1092600345	False	False	subtilis	4,013,819	Bacillus subtilis strain VV2, complete genome
NZ_CP017763	1121206263	False	False	subtilis	4,121,999	Bacillus subtilis strain 29R7-12 chromosome, complete genome
NZ_CP018133	1275632820	False	False	subtilis	4,006,746	Bacillus subtilis strain ATR2 chromosome, complete genome
NZ_CP018173	1119646557	False	False	subtilis	4,108,293	Bacillus subtilis strain MJ01, complete genome
NZ_CP018184	1119673341	False	False	subtilis	4,138,265	Bacillus subtilis strain KH2, complete genome
NZ_CP018295	1119670507	False	False	subtilis	4,117,900	Bacillus subtilis strain J-5, complete genome
NZ_CP020023	1359419766	False	False	subtilis	4,141,030	Bacillus subtilis strain ATCC 21228 chromosome, complete genome
NZ_CP020102	1167593196	False	False	subtilis	4,215,607	Bacillus subtilis strain NCIB 3610 chromosome, complete genome
NZ_CP020367	1170222313	False	False	subtilis	4,072,961	Bacillus subtilis strain GQJK2 chromosome, complete genome
NZ_CP020722	1183795240	False	False	subtilis	4,142,593	Bacillus subtilis strain Bs-115 chromosome, complete genome
NZ_CP021169	1196905946	False	False	subtilis	3,923,177	Bacillus subtilis strain TLO3 chromosome, complete genome
NZ_CP021498	1201988837	False	False	subtilis	3,988,602	Bacillus subtilis subsp. subtilis strain SRCM101444 chromosome, complete genome
NZ_CP021499	1201931362	False	False	subtilis	3,988,649	Bacillus subtilis subsp. subtilis strain SRCM100757 chromosome, complete genome
NZ_CP021889	1209248234	False	False	subtilis	3,988,630	Bacillus subtilis subsp. subtilis strain SRCM100761 chromosome, complete genome
NZ_CP021892	1209217979	False	False	subtilis	4,086,692	Bacillus subtilis subsp. subtilis strain SRCM100333 chromosome, complete genome
NZ_CP021903	1209249953	False	False	subtilis	4,065,429	Bacillus subtilis strain ge28 chromosome, complete genome
NZ_CP021921	1209280187	False	False	subtilis	4,147,173	Bacillus subtilis subsp. subtilis strain SRCM101392 chromosome, complete genome
NZ_CP022287	1215194256	False	False	subtilis	4,072,531	Bacillus subtilis strain SX01705 chromosome, complete genome
NZ_CP022890	1236855544	False	False	subtilis	4,014,255	Bacillus subtilis strain DKU_NT_02 chromosome, complete genome
NZ_CP022891	1236855623	False	False	subtilis	4,196,031	Bacillus subtilis strain DKU_NT_03 chromosome, complete genome
NZ_CP023257	1242725306	False	False	subtilis	4,072,939	Bacillus subtilis strain TLO3 chromosome, complete genome
NZ_CP025941	1333933357	False	False	subtilis	4,175,806	Bacillus subtilis strain BJ3-2 chromosome, complete genome
NC_005957	49476684	True	False	thuringiensis	5,237,682	Bacillus thuringiensis serovar konkukian str. 97-27 chromosome, complete genome
NC_008600	118475778	True	False	thuringiensis	5,257,091	Bacillus thuringiensis str. Al Hakam, complete genome
NC_014171	296500838	True	False	thuringiensis	5,330,088	Bacillus thuringiensis BMB171, complete genome
NC_017200	384177910	True	False	thuringiensis	5,355,490	Bacillus thuringiensis serovar finitimus YBT-020, complete genome
NC_017208	384184088	True	False	thuringiensis	5,486,830	Bacillus thuringiensis serovar chinensis CT-43, complete genome
NC_018500	402558824	True	False	thuringiensis	5,886,036	Bacillus thuringiensis HD-771, complete genome
NC_018508	434373506	True	False	thuringiensis	5,495,278	Bacillus thuringiensis HD-789, complete genome
NC_018693	407703236	True	False	thuringiensis	5,414,494	Bacillus thuringiensis MC28, complete genome
NC_018877	409187965	True	False	thuringiensis	5,500,501	Bacillus thuringiensis Bt407, complete genome
NC_020238	449086670	True	False	thuringiensis	5,646,799	Bacillus thuringiensis serovar kurstaki str. HD73, complete genome
NC_020376	452196381	True	False	thuringiensis	5,491,935	Bacillus thuringiensis serovar thuringiensis str. IS5056, complete genome
NC_022873	558678294	True	False	thuringiensis	6,002,284	Bacillus thuringiensis YBT-1518, complete genome
NZ_AP014864	985613331	True	False	thuringiensis	5,896,839	Bacillus thuringiensis serovar tolworthi DNA, complete genome, strain: Pasteur Institute Standard strain
NZ_CP004858	749295601	True	False	thuringiensis	5,602,565	Bacillus thuringiensis serovar kurstaki str. YBT-1520, complete genome
NZ_CP004870	757747818	True	False	thuringiensis	5,631,672	Bacillus thuringiensis serovar kurstaki str. HD-1, complete genome
NZ_CP007607	749295542	True	False	thuringiensis	5,607,837	Bacillus thuringiensis serovar kurstaki str. YBT-1520, complete genome
NZ_CP009335	759608738	True	False	thuringiensis	5,232,696	Bacillus thuringiensis strain HD1011, complete genome
NZ_CP009351	759615542	True	False	thuringiensis	5,491,311	Bacillus thuringiensis HD1002, complete genome
NZ_CP009600	755165011	True	False	thuringiensis	5,256,240	Bacillus thuringiensis strain HD571, complete genome
NZ_CP009720	755162796	True	False	thuringiensis	5,213,295	Bacillus thuringiensis strain HD682, complete genome
NZ_CP010005	763297351	True	False	thuringiensis	5,675,189	Bacillus thuringiensis serovar kurstaki strain HD 1, complete genome
NZ_CP010088	755166861	True	False	thuringiensis	5,235,838	Bacillus thuringiensis strain 97-27, complete genome
NZ_CP010089	757772051	True	False	thuringiensis	5,701,188	Bacillus thuringiensis serovar galleriae strain HD-29, complete genome
NZ_CP010106	915492893	True	False	thuringiensis	5,429,688	Bacillus thuringiensis serovar indiana strain HD521, complete genome
NZ_CP010577	766622846	True	False	thuringiensis	5,652,292	Bacillus thuringiensis serovar morrisoni strain BGSC 4AA1, complete genome
NZ_CP011349	827465782	True	False	thuringiensis	5,675,007	Bacillus thuringiensis strain YC-10, complete genome
NZ_CP012099	915549795	True	False	thuringiensis	5,292,526	Bacillus thuringiensis strain HS18-1, complete genome
NZ_CP013055	983399818	True	False	thuringiensis	5,674,369	Bacillus thuringiensis strain YWC2-8, complete genome
NZ_CP013274	983475238	True	False	thuringiensis	5,327,397	Bacillus thuringiensis strain CTC, complete genome
NZ_CP014282	1008989517	True	False	thuringiensis	5,243,635	Bacillus thuringiensis strain Bt185, complete genome
NZ_CP015150	1017216133	True	False	thuringiensis	5,627,121	Bacillus thuringiensis strain Bc601, complete genome
NZ_CP015176	1027743998	True	False	thuringiensis	5,400,819	Bacillus thuringiensis serovar alesti strain BGSC 4C1 chromosome, complete genome
NZ_CP015250	1062995496	True	False	thuringiensis	5,610,045	Bacillus thuringiensis Bt18247, complete genome
NZ_CP015350	1045415200	True	False	thuringiensis	5,867,736	Bacillus thuringiensis strain MYBT18246 chromosome, complete genome
NZ_CP016588	1046641237	True	False	thuringiensis	5,344,151	Bacillus thuringiensis strain KNU-07 chromosome, complete genome
NZ_CP017577	1201954295	True	False	thuringiensis	5,436,019	Bacillus thuringiensis strain SCG04-02, complete genome
NZ_CP019230	1205192580	True	False	thuringiensis	5,420,545	Bacillus thuringiensis strain YGd22-03, complete genome
NZ_CP020002	1159315886	True	False	thuringiensis	5,790,408	Bacillus thuringiensis strain L-7601, complete genome
NZ_CP020723	1207088455	True	False	thuringiensis	5,246,329	Bacillus thuringiensis strain BM-BT15426 chromosome, complete genome
NZ_CP021061	1207610714	True	False	thuringiensis	5,427,594	Bacillus thuringiensis strain ATCC 10792 chromosome, complete genome
NZ_CP022345	1219500589	True	False	thuringiensis	5,334,660	Bacillus thuringiensis strain c25 chromosome, complete genome
NC_022781	557619566	True	False	toyonensis	4,940,474	Bacillus toyonensis BCT-7112, complete genome
NZ_CP020893	1189305439	False	False	vallismortis	3,929,787	Bacillus vallismortis strain NBIF-001 chromosome, complete genome
NC_019842	429503531	False	False	velezensis	3,961,368	Bacillus velezensis AS43.3, complete genome
NZ_CP006890	749299146	False	False	velezensis	4,117,023	Bacillus velezensis SQR9, complete genome
NZ_CP007165	810454280	False	False	velezensis	4,052,546	Bacillus velezensis NJN-6, complete genome
NZ_CP009679	749299045	False	False	velezensis	4,006,002	Bacillus velezensis strain JS25R chromosome, complete genome
NZ_CP011346	817451848	False	False	velezensis	4,105,955	Bacillus velezensis strain JJ-D34 chromosome, complete genome
NZ_CP011347	818920956	False	False	velezensis	4,006,637	Bacillus velezensis strain YJ11-1-4 chromosome, complete genome
NZ_CP011686	844774593	False	False	velezensis	4,009,746	Bacillus velezensis strain G341 chromosome, complete genome
NZ_CP014990	1074989140	False	False	velezensis	3,921,833	Bacillus velezensis strain D2-2, complete genome
NZ_CP015443	1032817234	False	False	velezensis	4,167,153	Bacillus velezensis strain CC09, complete genome
NZ_CP015911	1045842230	False	False	velezensis	3,917,761	Bacillus velezensis strain LS69 chromosome, complete genome
NZ_CP016371	1045346793	False	False	velezensis	3,929,772	Bacillus velezensis strain S3-1, complete genome
NZ_CP016395	1065013168	False	False	velezensis	4,007,450	Bacillus velezensis strain M75 chromosome, complete genome
NZ_CP017747	1100825183	False	False	velezensis	3,884,433	Bacillus velezensis strain SYBC H47 chromosome, complete genome
NZ_CP017775	1096237946	False	False	velezensis	4,206,167	Bacillus velezensis strain 9912D chromosome, complete genome
NZ_CP018007	1167593339	False	False	velezensis	3,926,520	Bacillus velezensis strain sx01604 chromosome, complete genome
NZ_CP019040	1149158730	False	False	velezensis	4,071,980	Bacillus velezensis strain GH1-13 chromosome, complete genome
NZ_CP020375	1170426980	False	False	velezensis	3,929,789	Bacillus velezensis strain JTYP2 chromosome, complete genome
NZ_CP020805	1186136984	False	False	velezensis	3,963,726	Bacillus velezensis strain 9D-6 chromosome, complete genome
NZ_CP021011	1325659604	False	False	velezensis	3,975,220	Bacillus velezensis strain GFP-2 chromosome, complete genome
NZ_CP021338	1207642486	False	False	velezensis	3,922,711	Bacillus velezensis strain ZL918 chromosome, complete genome
NZ_CP021495	1207076529	False	False	velezensis	3,929,760	Bacillus velezensis strain GQJK49 chromosome, complete genome
NZ_CP021976	1209903768	False	False	velezensis	3,893,083	Bacillus velezensis strain T20E-257 chromosome, complete genome
NZ_CP022341	1215560186	False	False	velezensis	4,013,317	Bacillus velezensis strain 157 chromosome, complete genome
NZ_CP022531	1227368372	False	False	velezensis	3,979,382	Bacillus velezensis strain TB1501 chromosome, complete genome
NZ_CP022556	1234371991	False	False	velezensis	3,847,297	Bacillus velezensis strain NJAU-Z9 chromosome, complete genome
NZ_CP022654	1243956991	False	False	velezensis	4,162,569	Bacillus velezensis strain SCDB 291 chromosome, complete genome
NZ_CP023320	1243941556	False	False	velezensis	4,085,488	Bacillus velezensis strain SCGB 1 chromosome, complete genome
NZ_CP023431	1245897812	False	False	velezensis	3,989,154	Bacillus velezensis strain SCGB 574 chromosome, complete genome
NZ_CP023748	1267222144	False	False	velezensis	3,972,310	Bacillus velezensis strain LABIM40 chromosome, complete genome
NZ_CP023859	1271539833	False	False	velezensis	4,090,582	Bacillus velezensis strain L-1 chromosome, complete genome
NZ_CP024203	1274379992	False	False	velezensis	4,197,217	Bacillus velezensis strain NKG-1 chromosome, complete genome
NZ_CP024797	1277285816	False	False	velezensis	4,061,552	Bacillus velezensis strain TJ02 chromosome, complete genome
NZ_CP024897	1280938158	False	False	velezensis	3,995,812	Bacillus velezensis strain CN026 chromosome, complete genome
NZ_CP025308	1316546126	False	False	velezensis	4,246,605	Bacillus velezensis strain Lzh-a42 chromosome, complete genome
NZ_CP025341	1316615710	False	False	velezensis	3,928,489	Bacillus velezensis strain CMT-6 chromosome, complete genome
NZ_CP025939	1333944381	False	False	velezensis	4,326,822	Bacillus velezensis strain 10075 chromosome, complete genome
NZ_CP026533	1352879641	False	False	velezensis	4,166,265	Bacillus velezensis strain DKU_NT_04 chromosome, complete genome
NZ_CP026610	1357960634	False	False	velezensis	4,322,979	Bacillus velezensis strain CGMCC 11640 chromosome, complete genome
NZ_CP016020	1119662339	False	False	weihaiensis	4,344,873	Bacillus weihaiensis strain Alg07 chromosome, complete genome
NC_010184	163938013	True	False	weihenstephanensis	5,262,775	Bacillus weihenstephanensis KBAB4, complete genome
NZ_CP009746	749321901	True	False	weihenstephanensis	5,608,349	Bacillus weihenstephanensis strain WSBC 10204, complete genome
NZ_CP017786	1096221489	False	False	xiamenensis	3,637,729	Bacillus xiamenensis strain VV3 chromosome, complete genome
